dataset,condition,block,prop_2d,prop_neither,prop_1d,N
5,asocial,4,0.0,0.0,0.0,0
5,asocial,5,0.0,0.0,0.0,0
6,first,0,0.0,0.978494623655914,0.021505376344086023,93
6,first,1,0.053763440860215055,0.7096774193548387,0.23655913978494625,93
6,first,2,0.0967741935483871,0.5698924731182796,0.3333333333333333,93
6,first,3,0.10752688172043011,0.5376344086021505,0.3548387096774194,93
6,first,4,0.10752688172043011,0.5376344086021505,0.3548387096774194,93
6,first,5,0.10752688172043011,0.4838709677419355,0.40860215053763443,93
6,2d,0,0.0,0.0,0.0,0
6,2d,1,0.0,0.0,0.0,0
6,2d,2,0.0,0.0,0.0,0
6,2d,3,0.0,0.0,0.0,0
6,2d,4,0.0,0.0,0.0,0
6,2d,5,0.0,0.0,0.0,0
6,other_1d,0,0.0,0.0,0.0,0
6,other_1d,1,0.0,0.0,0.0,0
6,other_1d,2,0.0,0.0,0.0,0
6,other_1d,3,0.0,0.0,0.0,0
6,other_1d,4,0.0,0.0,0.0,0
6,other_1d,5,0.0,0.0,0.0,0
6,asocial,0,0.0625,0.4375,0.5,32
6,asocial,1,0.34375,0.4375,0.21875,32
6,asocial,2,0.5625,0.1875,0.25,32
6,asocial,3,0.59375,0.15625,0.25,32
6,asocial,4,0.59375,0.15625,0.25,32
6,asocial,5,0.59375,0.1875,0.21875,32
